"","BIOCHEMICAL","SUPER.PATHWAY","SUB.PATHWAY","COMP.ID","PLATFORM","CHEMICAL.ID","RI","MASS","CAS","PUBCHEM","KEGG","HMDB"
"met_20","1,2-distearoyl-GPC (18:0/18:0)","Lipid","Phosphatidylcholine (PC)",19132,"LC/MS Pos Late",100000660,2950,790.632,"816-94-4","94190","","HMDB08036"
"met_21","1,5-anhydroglucitol (1,5-AG)","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,"LC/MS Neg",100000580,802,163.0612,"154-58-5","64960","C07326","HMDB02712"
"met_22","10-heptadecenoate (17:1n7)","Lipid","Long Chain Fatty Acid",33971,"LC/MS Neg",100001278,5555,267.233,"29743-97-3","5312435","","HMDB60038"
"met_23","10-nonadecenoate (19:1n9)","Lipid","Long Chain Fatty Acid",33972,"LC/MS Neg",100001277,5780,295.2643,"73033-09-7","5312513","","HMDB13622"
"met_24","10-undecenoate (11:1n1)","Lipid","Medium Chain Fatty Acid",32497,"LC/MS Neg",100001197,5085.8,183.1391,"1333-28-4","14891","C13910","HMDB33724"
"met_25","12,13-DiHOME","Lipid","Fatty Acid, Dihydroxy",38395,"LC/MS Neg",62,5137,313.2384,"263399-35-5","10236635","C14829","HMDB04705"
"met_26","12-dehydrocholate","Lipid","Secondary Bile Acid Metabolism",44644,"LC/MS Neg",100001072,4871,405.2646,"2458-08-4;2458-08-4","94235","","HMDB00400"
"met_27","12-HETE","Lipid","Eicosanoid",37536,"LC/MS Neg",100002167,5326,319.2279,"71030-37-0;73837-14-6","5312983","","HMDB06111"
"met_28","12-HHTrE","Lipid","Eicosanoid",57393,"LC/MS Neg",1261,5175,279.1966,"54397-84-1","5283141","C20388","HMDB12535"
"met_29","13-HODE + 9-HODE","Lipid","Fatty Acid, Monohydroxy",37752,"LC/MS Neg",100002196,5275,295.2283,"","43013","",""
"met_30","13-methylmyristate (i15:0)","Lipid","Fatty Acid, Branched",38293,"LC/MS Neg",100002344,5499,241.2173,"2485-71-4","151014","",""
"met_31","15-methylpalmitate (i17:0)","Lipid","Fatty Acid, Branched",38768,"LC/MS Neg",100002945,5695,269.2487,"","17903417","",""
"met_32","16-hydroxypalmitate","Lipid","Fatty Acid, Monohydroxy",39609,"LC/MS Neg",100002953,5236.2,271.2279,"506-13-8","10466","C18218","HMDB06294"
"met_33","17-methylstearate (i19:0)","Lipid","Fatty Acid, Branched",38296,"LC/MS Neg",100002356,5993,297.2799,"2724-59-6","3083779","","HMDB37397"
"met_34","1-arachidonoyl-GPA (20:4)","Lipid","Lysophospholipid",46325,"LC/MS Neg",100004442,5499,457.2361,"799268-65-8",".","",""
"met_35","1-arachidonoyl-GPC (20:4n6)*","Lipid","Lysophospholipid",33228,"LC/MS Pos Late",100001551,1460,544.3398,"",".","C05208","HMDB10395"
"met_36","1-arachidonoyl-GPE (20:4n6)*","Lipid","Lysophospholipid",35186,"LC/MS Pos Late",100001571,1470,502.2928,"","42607465","","HMDB11517"
"met_37","1-arachidonoyl-GPI (20:4)*","Lipid","Lysophospholipid",34214,"LC/MS Neg",100001654,5482,619.2889,"",".","","HMDB61690"
"met_38","1-arachidonylglycerol (20:4)","Lipid","Monoacylglycerol",34397,"LC/MS Neg",100001433,6250,303.2329,"35474-99-8","5282281","C13857","HMDB11549"
"met_39","1-cerotoyl-GPC (26:0)*","Lipid","Lysophospholipid",61505,"LC/MS Pos Late",100015772,1990,636.4963,"",".","","HMDB29205"
"met_40","1-dihomo-linolenylglycerol (20:3)","Lipid","Monoacylglycerol",48341,"LC/MS Neg",100006121,6400,305.2486,"",".","",""
"met_41","1-dihomo-linoleoylglycerol (20:2)","Lipid","Fatty Acid, Keto",35103,"LC/MS Neg",100001483,6800,307.2642,"",".","",""
"met_42","1-docosahexaenoylglycerol (22:6)","Lipid","Monoacylglycerol",35153,"LC/MS Neg",100001481,6150,309.2224,"",".","","HMDB11587"
"met_43","1-lignoceroyl-GPC (24:0)","Lipid","Lysophospholipid",49617,"LC/MS Pos Late",100002873,1907,608.465,"325171-59-3",".","","HMDB10405"
"met_44","1-linolenoylglycerol (18:3)","Lipid","Monoacylglycerol",34393,"LC/MS Neg",100001435,6214,277.2173,"124151-74-2","53480978","","HMDB11569"
"met_45","1-linolenoyl-GPC (18:3)*","Lipid","Lysophospholipid",45951,"LC/MS Pos Late",100005350,1410,518.3241,"",".","","HMDB10388"
"met_46","1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*","Lipid","Phosphatidylcholine (PC)",52710,"LC/MS Pos Late",100009131,1969,806.5694,"",".","","HMDB08147"
"met_47","1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*","Lipid","Phosphatidylcholine (PC)",53176,"LC/MS Pos Late",100009343,1939,780.5538,"",".","","HMDB08141"
"met_48","1-linoleoylglycerol (18:2)","Lipid","Monoacylglycerol",27447,"LC/MS Neg",100001040,6477,279.2329,"2277-28-3","5283469","",""
"met_49","1-linoleoyl-GPA (18:2)*","Lipid","Lysophospholipid",52690,"LC/MS Neg",100009082,5483,433.2361,"",".","","HMDB07856"
"met_50","1-linoleoyl-GPC (18:2)","Lipid","Lysophospholipid",34419,"LC/MS Pos Late",100001395,1465,520.3398,"","11988421","C04100","HMDB10386"
"met_51","1-linoleoyl-GPE (18:2)*","Lipid","Lysophospholipid",36600,"LC/MS Pos Late",100001570,1482,478.2928,"","52925130","","HMDB11507"
"met_52","1-linoleoyl-GPG (18:2)*","Lipid","Lysophospholipid",54885,"LC/MS Neg",100009227,5516,507.2728,"",".","",""
"met_53","1-linoleoyl-GPI (18:2)*","Lipid","Lysophospholipid",36594,"LC/MS Neg",100001778,5494,595.2889,"",".","",""
"met_54","1-linoleoyl-GPS (18:2)*","Lipid","Lysophospholipid",43676,"LC/MS Neg",100004606,5500,520.2681,"",".","",""
"met_55","1-margaroylglycerol (17:0)","Lipid","Monoacylglycerol",34391,"LC/MS Neg",100001429,6571,269.2486,"68002-72-2","107036","",""
"met_56","1-methyl-4-imidazoleacetate","Amino Acid","Histidine Metabolism",32350,"LC/MS Pos Early",100001208,2064,141.0659,"2625-49-2","75810","C05828","HMDB02820"
"met_57","N1-methyladenosine","Nucleotide","Purine Metabolism, Adenine containing",15650,"LC/MS Pos Early",1242,2120,282.1197,"15763-06-1","27476","C02494","HMDB03331"
"met_58","1-methylguanidine","Amino Acid","Guanidino and Acetamido Metabolism",48114,"LC/MS Pos Early",100000715,2149,74.0713,"22661-87-6","10111","C02294","HMDB01522"
"met_59","1-methylhistamine","Amino Acid","Histidine Metabolism",43831,"LC/MS Pos Early",100001204,3040,126.1026,"501-75-7","3614","C05127","HMDB00898"
"met_60","1-methylhistidine","Amino Acid","Histidine Metabolism",30460,"LC/MS Neg",100001051,1227,168.0779,"332-80-9","92105","C01152","HMDB00001"
"met_61","1-methylhypoxanthine","Nucleotide","Purine Metabolism, (Hypo)Xanthine/Inosine containing",57771,"LC/MS Pos Early",100004644,1530,151.0614,"1125-39-9","70765","",""
"met_62","1-methylnicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism",27665,"LC/MS Pos Early",55,1940,137.0709,"1005-24-9","10129985","C02918","HMDB00699"
"met_63","1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*","Lipid","Phosphatidylcholine (PC)",53195,"LC/MS Pos Late",100009139,1914,754.5381,"",".","","HMDB07883"
"met_64","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","Lipid","Phosphatidylcholine (PC)",19258,"LC/MS Pos Late",100000672,2147,706.5381,"69525-80-0","129657","","HMDB07869"
"met_65","1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*","Lipid","Phosphatidylethanolamine (PE)",55041,"LC/MS Pos Late",100009219,2200,766.5381,"",".","","HMDB09069"
"met_66","1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*","Lipid","Phosphatidylcholine (PC)",52697,"LC/MS Pos Late",100009130,2011,832.5851,"",".","","HMDB08123"
"met_67","1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*","Lipid","Phosphatidylcholine (PC)",52453,"LC/MS Pos Late",100008981,2165,784.5851,"",".","",""
"met_68","1-oleoyl-2-linoleoyl-GPI (18:1/18:2)*","Lipid","Phosphatidylinositol (PI)",52451,"LC/MS Pos Late",100008979,2700,878.5753,"",".","","HMDB09838"
"met_69","1-oleoylglycerol (18:1)","Lipid","Monoacylglycerol",21184,"LC/MS Neg",100000924,6650,281.2486,"111-03-5","5283468","","HMDB11567"
"met_70","1-oleoyl-GPA (18:1)","Lipid","Lysophospholipid",36812,"LC/MS Pos Late",100001671,1635,437.2663,"325465-93-8","5497152","",""
"met_71","1-oleoyl-GPC (18:1)","Lipid","Lysophospholipid",48258,"LC/MS Pos Late",100001272,1540,522.3554,"19420-56-5","16081932","","HMDB02815"
"met_72","1-oleoyl-GPE (18:1)","Lipid","Lysophospholipid",35628,"LC/MS Pos Late",100001569,1554,480.3085,"89576-29-4","9547071","","HMDB11506"
"met_73","1-oleoyl-GPG (18:1)*","Lipid","Lysophospholipid",45968,"LC/MS Neg",100005716,5610,509.2885,"",".","",""
"met_74","1-oleoyl-GPI (18:1)*","Lipid","Lysophospholipid",36602,"LC/MS Neg",100001777,5599,597.3045,"",".","",""
"met_75","1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*","Lipid","Phosphatidylcholine (PC)",53180,"LC/MS Pos Late",100009345,1850,754.5381,"",".","","HMDB08008"
"met_76","1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*","Lipid","Phosphatidylcholine (PC)",52683,"LC/MS Pos Late",100009075,2003,756.5538,"",".","","HMDB08006"
"met_77","1-palmitoleoylglycerol (16:1)*","Lipid","Monoacylglycerol",52431,"LC/MS Neg",100008952,6094,253.2173,"",".","","HMDB11565"
"met_78","1-palmitoleoyl-GPC (16:1)*","Lipid","Lysophospholipid",33230,"LC/MS Pos Late",100001511,1450,494.3241,"","24779461","","HMDB10383"
"met_79","1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)","Lipid","Phosphatidylcholine (PC)",52462,"LC/MS Pos Late",100008914,2091,782.5694,"35418-58-7","10747814","","HMDB07982"
"met_80","1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*","Lipid","Phosphatidylethanolamine (PE)",52464,"LC/MS Pos Late",100008990,2198,740.5225,"","9546800","","HMDB05323"
"met_81","1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*","Lipid","Phosphatidylinositol (PI)",52467,"LC/MS Pos Late",100008993,2567,876.5597,"",".","","HMDB09789"
"met_82","1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)","Lipid","Phosphatidylcholine (PC)",52610,"LC/MS Pos Late",100008915,2023,806.5694,"59403-54-2","6441886","","HMDB07991"
"met_83","1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*","Lipid","Phosphatidylethanolamine (PE)",52465,"LC/MS Pos Late",100008991,2119,764.5225,"","9546799","","HMDB05324"
"met_84","1-palmitoyl-2-linoleoyl-GPA (16:0/18:2)*","Lipid","Phosphatidic acid (PA)",52679,"LC/MS Pos Late",100009070,2820,690.5068,"","9547167","","HMDB07860"
"met_85","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","Lipid","Phosphatidylcholine (PC)",42446,"LC/MS Pos Late",1537,2160,758.5694,"40811-94-7","5287971","","HMDB07973"
"met_86","1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)","Lipid","Phosphatidylethanolamine (PE)",42449,"LC/MS Pos Late",100001870,2275,716.5225,"","9546747","","HMDB05322"
"met_87","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)","Lipid","Phosphatidylinositol (PI)",52450,"LC/MS Polar",1528,910,833.5185,"",".","","HMDB09784"
"met_88","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","Lipid","Phosphatidylcholine (PC)",52461,"LC/MS Pos Late",1539,2358,760.5851,"26853-31-6;26853-31-6","6436017","","HMDB07972"
"met_89","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","Lipid","Phosphatidylethanolamine (PE)",19263,"LC/MS Pos Late",1526,2509,718.5381,"26662-94-2","5283496","","HMDB05320"
"met_90","1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*","Lipid","Phosphatidylinositol (PI)",52669,"LC/MS Pos Late",100009066,3140,854.5753,"",".","","HMDB09783"
"met_91","1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*","Lipid","Phosphatidylcholine (PC)",52470,"LC/MS Pos Late",100008984,2160,732.5538,"",".","","HMDB07969"
"met_92","1-palmitoyl-2-stearoyl-GPC (16:0/18:0)","Lipid","Phosphatidylcholine (PC)",52616,"LC/MS Pos Late",100008921,2653,762.6007,"59403-51-9",".","","HMDB07970"
"met_93","1-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol",21127,"LC/MS Neg",100000827,6550,255.2329,"542-44-9","14900","","HMDB31074"
"met_94","1-palmitoyl-GPA (16:0)","Lipid","Lysophospholipid",34428,"LC/MS Pos Late",100001445,1625,393.2401,"17618-08-5","6419701","C04036","HMDB00327"
"met_95","1-palmitoyl-GPC (16:0)","Lipid","Lysophospholipid",33955,"LC/MS Pos Late",100001263,1525,496.3398,"17364-16-8","86554","","HMDB10382"
"met_96","1-palmitoyl-GPE (16:0)","Lipid","Lysophospholipid",35631,"LC/MS Pos Late",100001567,1544,454.2928,"53862-35-4","9547069","","HMDB11503"
"met_97","1-palmitoyl-GPG (16:0)*","Lipid","Lysophospholipid",45970,"LC/MS Neg",100005717,5570,483.2728,"","3300276","",""
"met_98","1-palmitoyl-GPI (16:0)","Lipid","Lysophospholipid",35305,"LC/MS Neg",100001655,5564,571.2889,"",".","","HMDB61695"
"met_99","1-ribosyl-imidazoleacetate*","Amino Acid","Histidine Metabolism",61868,"LC/MS Pos Early",100001668,2006,259.0925,"29605-99-0","5117448","C05131","HMDB02331"
"met_100","1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","Lipid","Phosphatidylcholine (PC)",42450,"LC/MS Pos Late",100001869,2300,810.6007,"35418-59-8","16219824","","HMDB08048"
"met_101","1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)","Lipid","Phosphatidylethanolamine (PE)",52447,"LC/MS Pos Late",100008977,2424,768.5538,"","5289133","","HMDB09003"
"met_102","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","Lipid","Phosphatidylinositol (PI)",52449,"LC/MS Pos Late",100000616,3000,904.591,"383907-33-3",".","","HMDB09815"
"met_103","1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)","Lipid","Phosphatidylcholine (PC)",52611,"LC/MS Pos Late",100008916,2197,834.6013,"59403-52-0",".","","HMDB08057"
"met_104","1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*","Lipid","Phosphatidylethanolamine (PE)",52466,"LC/MS Pos Late",100008992,2317,792.5538,"","9546798","","HMDB05334"
"met_105","1-stearoyl-2-linoleoyl-GPA (18:0/18:2)*","Lipid","Phosphatidic acid (PA)",57347,"LC/MS Pos Late",100009091,3259,718.5381,"",".","","HMDB07861"
"met_106","1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*","Lipid","Phosphatidylcholine (PC)",52452,"LC/MS Pos Late",100008980,2380,786.6007,"",".","","HMDB08039"
"met_107","1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*","Lipid","Phosphatidylethanolamine (PE)",52446,"LC/MS Pos Late",100008976,2522,744.5538,"","9546749","","HMDB08994"
"met_108","1-stearoyl-2-linoleoyl-GPI (18:0/18:2)","Lipid","Phosphatidylinositol (PI)",52468,"LC/MS Pos Late",100008994,3185,880.591,"",".","","HMDB09809"
"met_109","1-stearoyl-2-oleoyl-GPC (18:0/18:1)","Lipid","Phosphatidylcholine (PC)",52438,"LC/MS Pos Late",100008904,2644,788.6164,"56421-10-4",".","","HMDB08038"
"met_110","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","Lipid","Phosphatidylethanolamine (PE)",42448,"LC/MS Pos Late",100001856,2858,746.5694,"",".","","HMDB08993"
"met_111","1-stearoyl-2-oleoyl-GPI (18:0/18:1)*","Lipid","Phosphatidylinositol (PI)",52726,"LC/MS Pos Late",100009181,3711,882.6066,"",".","",""
"met_112","1-stearoyl-GPC (18:0)","Lipid","Lysophospholipid",33961,"LC/MS Pos Late",100001271,1606,524.3711,"19420-57-6","497299","","HMDB10384"
"met_113","1-stearoyl-GPE (18:0)","Lipid","Lysophospholipid",42398,"LC/MS Pos Late",100001461,1626,482.3241,"69747-55-3","9547068","","HMDB11130"
"met_114","1-stearoyl-GPG (18:0)","Lipid","Lysophospholipid",34437,"LC/MS Neg",100001462,5816,511.3041,"",".","",""
"met_115","1-stearoyl-GPI (18:0)","Lipid","Lysophospholipid",19324,"LC/MS Pos Late",100000656,1700,601.3347,"796963-93-4",".","","HMDB61696"
"met_116","1-stearoyl-GPS (18:0)*","Lipid","Lysophospholipid",45966,"LC/MS Neg",100004327,5800,524.2994,"","9547101","",""
"met_117","2,3-dihydroxy-2-methylbutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",57547,"LC/MS Polar",100010869,1318,133.0506,"14868-24-7","301941","","HMDB29576"
"met_118","2,3-dihydroxyisovalerate","Xenobiotics","Food Component/Plant",38276,"LC/MS Polar",100002417,1050,133.0506,"1756-18-9","677","C04039","HMDB12141"
"met_119","2-aminoadipate","Amino Acid","Lysine Metabolism",6146,"LC/MS Pos Early",381,1912,162.0761,"542-32-5;1118-90-7","469","C00956","HMDB00510"
"met_120","2-aminobutyrate","Amino Acid","Glutathione Metabolism",42374,"LC/MS Pos Early",1128,2059,104.0706,"1492-24-6","439691","C02261","HMDB00650"
"met_121","2-aminoheptanoate","Lipid","Fatty Acid, Amino",43761,"LC/MS Pos Early",100004542,3160,146.1176,"1115-90-8","227939","",""
"met_122","2-aminophenol sulfate","Xenobiotics","Chemical",43266,"LC/MS Neg",100004322,1677,188.0023,"","181670","","HMDB61116"
"met_123","2-arachidonoylglycerol (20:4)","Lipid","Monoacylglycerol",19266,"LC/MS Neg",100000584,6170,303.2329,"53847-30-6","5282280","C13856","HMDB04666"
"met_124","2'-deoxycytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",15949,"LC/MS Pos Early",100000125,2193,228.0979,"951-77-9","13711","C00881","HMDB00014"
"met_125","2'-deoxyuridine","Nucleotide","Pyrimidine Metabolism, Uracil containing",1412,"LC/MS Neg",536,1586,111.02,"951-78-0","13712","C00526","HMDB00012"
"met_126","2-docosahexaenoylglycerol (22:6)*","Lipid","Monoacylglycerol",48675,"LC/MS Neg",100006352,6050,309.2224,"",".","","HMDB11557"
"met_127","2-ethylphenylsulfate","Xenobiotics","Benzoate Metabolism",36847,"LC/MS Neg",100001809,3416,201.0227,"",".","",""
"met_128","2-hydroxy-3-methylvalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",36746,"LC/MS Neg",100001541,1800,131.0714,"488-15-3","164623","","HMDB00317"
"met_129","2-hydroxyadipate","Lipid","Fatty Acid, Dicarboxylate",31934,"LC/MS Polar",100001153,3000,161.0455,"18294-85-4","193530","C02360","HMDB00321"
"met_130","2-hydroxybehenate","Lipid","Fatty Acid, Monohydroxy",57663,"LC/MS Neg",100015637,6384,355.3218,"","193484","",""
"met_131","2-hydroxybutyrate/2-hydroxyisobutyrate","Amino Acid","Glutathione Metabolism",52281,"LC/MS Polar",100008928,1258,103.0401,"",".","",""
"met_132","2-hydroxydecanoate","Lipid","Fatty Acid, Monohydroxy",42489,"LC/MS Neg",100004089,4840,187.134,"5393-81-7","21488","",""
"met_133","2-hydroxyglutarate","Lipid","Fatty Acid, Dicarboxylate",37253,"LC/MS Pos Early",100002070,958,131.0339,"40951-21-1","43","C02630","HMDB00606"
"met_134","2-hydroxyheptanoate*","Lipid","Fatty Acid, Monohydroxy",61827,"LC/MS Polar",100019960,925,145.087,"","2750949","",""
"met_135","2-hydroxylaurate","Lipid","Fatty Acid, Monohydroxy",52916,"LC/MS Neg",100008934,5211,215.1653,"2984-55-6","97783","",""
"met_136","2-hydroxymyristate","Lipid","Fatty Acid, Monohydroxy",32413,"LC/MS Neg",100001180,5364,243.1966,"2507-55-3","1563","C13790","HMDB02261"
"met_137","2-hydroxynervonate*","Lipid","Fatty Acid, Monohydroxy",61698,"LC/MS Neg",100015638,6345,381.3374,"","5312783","",""
"met_138","2-hydroxyoctanoate","Lipid","Fatty Acid, Monohydroxy",22036,"LC/MS Neg",100000743,3736.8,159.1027,"617-73-2","94180","","HMDB02264"
"met_139","2-hydroxyoleate","Lipid","Fatty Acid, Monohydroxy",54920,"LC/MS Neg",100010866,5560,297.2435,"56472-29-8","9796304","",""
"met_140","2-hydroxypalmitate","Lipid","Fatty Acid, Monohydroxy",35675,"LC/MS Neg",100001579,5511.2,271.2279,"764-67-0","92836","","HMDB31057"
"met_141","2-hydroxyphenylacetate","Amino Acid","Tyrosine Metabolism",1432,"LC/MS Polar",235,858.6,151.0401,"614-75-5","11970","C05852","HMDB00669"
"met_142","2-hydroxystearate","Lipid","Fatty Acid, Monohydroxy",17945,"LC/MS Neg",1239,5695,299.2592,"629-22-1","69417","C03045",""
"met_143","2-ketogulonate","Carbohydrate","Fructose, Mannose and Galactose Metabolism",15306,"LC/MS Polar",100000092,2794.7,193.0354,"342385-52-8","50","C15673","HMDB11732"
"met_144","2-linoleoylglycerol (18:2)","Lipid","Monoacylglycerol",32506,"LC/MS Neg",100000987,6250,279.2329,"3443-82-1","5365676","","HMDB11538"
"met_145","2-methylbutyrylcarnitine (C5)","Amino Acid","Leucine, Isoleucine and Valine Metabolism",45095,"LC/MS Pos Early",100001509,3050,246.17,"31023-25-3","6426901","","HMDB00378"
"met_146","2-methylcitrate/homocitrate","Energy","TCA Cycle",52282,"LC/MS Neg",100008929,575,205.0354,"",".","",""
"met_147","2-oleoylglycerol (18:1)","Lipid","Monoacylglycerol",21232,"LC/MS Neg",100000943,6500,281.2486,"3443-84-3","5319879","","HMDB11537"
"met_148","2'-O-methylcytidine","Nucleotide","Pyrimidine Metabolism, Cytidine containing",57554,"LC/MS Pos Early",100010895,2411,258.1085,"2140-72-9","150971","",""
"met_149","2'-O-methyluridine","Nucleotide","Pyrimidine Metabolism, Uracil containing",57655,"LC/MS Neg",100010896,1831,257.0779,"2140-76-3","102212","",""
"met_150","2-oxindole-3-acetate","Xenobiotics","Food Component/Plant",40479,"LC/MS Neg",100003109,2076,190.051,"2971-31-5","3080590","","HMDB35514"
"met_151","2-oxoarginine*","Amino Acid","Urea cycle; Arginine and Proline Metabolism",55072,"LC/MS Pos Early",100002784,1760,174.0873,"10/4/15","558","C03771","HMDB04225"
"met_152","2-palmitoleoyl-GPC (16:1)*","Lipid","Lysophospholipid",47118,"LC/MS Neg",100001561,5720,568.3256,"",".","","HMDB10383"
"met_153","2-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol",33419,"LC/MS Neg",100001048,6400,255.2329,"23470-00-0","123409","","HMDB11533"
"met_154","2-palmitoyl-GPC (16:0)*","Lipid","Lysophospholipid",35253,"LC/MS Neg",100001562,6215,570.3413,"","15061532","","HMDB61702"
"met_155","2-piperidinone","Xenobiotics","Food Component/Plant",43400,"LC/MS Pos Early",100004295,1675,100.0757,"675-20-7","12665","","HMDB11749"
"met_156","2-stearoyl-GPE (18:0)*","Lipid","Lysophospholipid",41220,"LC/MS Neg",100003901,6350,480.3096,"",".","","HMDB11129"
"met_157","3-(3-hydroxyphenyl)propionate","Xenobiotics","Benzoate Metabolism",35635,"LC/MS Neg",100001624,1980,165.0557,"621-54-5","91","C11457","HMDB00375"
"met_158","3-(3-hydroxyphenyl)propionate sulfate","Xenobiotics","Benzoate Metabolism",45415,"LC/MS Neg",100005391,1294,245.0125,"86321-32-6","187488","",""
